name,latitude,longitude,locality,region,postcode,address,date_closed
Coffee Beer,45.49282594868526,-122.61881053447723,Portland,OR,97206,4142 SE 42nd Ave.,
Nossa Familia Coffee,45.504978132451015,-122.64556930530424,Portland,OR,97202,2007 SE Division St,
Coffee Plant - Downtown,45.520934,-122.679122,Portland,OR,97205,724 SW Washington St,2012-03-12
Coffee Creations,45.505006357191185,-122.47627636118393,Portland,OR,97236,18145 SE Division St,
Jory Coffee Co.,45.550543881778715,-122.67590082638407,Portland,OR,97227,3845 N Mississippi Ave,
Code 3 Coffee,45.52223638092556,-122.67066692444861,Portland,OR,97204,,
Coffee.Cup,45.52638771686652,-122.80580850149859,Portland,OR,97229,12505-12593 NW Cornell Rd,
Marigold Coffee,45.49052730734865,-122.63722725726619,Portland,OR,97202,2801 SE Holgate Blvd,
Powell’S Books Coffee Room,45.52313,-122.681721,Portland,OR,97209,1005 W Burnside St,
Torrefazione Italia Coffee,45.51198071632552,-122.68220029545058,Portland,OR,,,
The Sadona Coffee Co.,45.4954019012057,-122.67175740131876,Portland,OR,,3838 S Moody Ave,
Black Coffee Co.,45.533756956929416,-122.69022989720149,Portland,OR,97209,1502 NW 19th Ave,
Coffee Trader,45.52090492925904,-122.67476629991462,Portland,OR,97204,310 SW 4th Ave,
Ugly Mug Coffeehouse,45.46548258759828,-122.65312544995594,Portland,OR,97202,8017 SE 13th Ave,2017-09-01
Stumptown Coffee Roasters,45.588645,-122.588513,Portland,OR,97218,Concourse E,
Johns Coffee Shop,45.52517759770829,-122.6776307275351,Portland,OR,97209,301 NW Broadway,
Water Avenue Coffee Company,45.51826034902281,-122.67939195936316,Portland,OR,97204,811 SW 6th Ave,2023-09-01
Mud Coffee,45.535383595868076,-122.62063263643729,Portland,OR,97212,4128 NE Sandy Blvd,2020-02-15
Coffee People,45.5118661880109,-122.62850414842015,Portland,OR,97214,3500 SE Hawthorne Blvd,
Ds Coffee Cabana,45.5176412520338,-122.5358738121189,Portland,OR,97233,616 SE 122nd Ave,
Jazzkats Coffee Bar,45.53691762381965,-122.6206649767954,Portland,OR,97213,1925 NE 42nd Ave,
Coffee Port,45.55699262757379,-122.70240457383093,Portland,OR,97217,4715 N Lagoon Ave Ste A,
Mudd Coffeehouse,45.49266012991794,-122.6764525753809,Portland,OR,97239,4237 SW Corbett Ave,
Upstream Coffee & Eatery,45.51019797475512,-122.67383664375926,Portland,OR,,0315 SW Montgomery St Ste 200,
Full Life Coffee Shop,45.53219447069421,-122.6300419480871,Portland,OR,97232,3331 NE Sandy Blvd,
Mudd Works Roastery,45.521632425723396,-122.6599006070038,Portland,OR,97214,537 SE Ash St Ste 108,
Coffeehouse Five,45.562612,-122.674833,Portland,OR,97217,740 N Killingsworth St,
Autumn Coffee Roasting,45.56265,-122.63075,Portland,OR,97211,3286 NE Killingsworth St,
Blue Hill Robot Coffee,45.519008,-122.677557,Portland,OR,97204,,
Cyclemaster Coffee Co.,45.57735745026211,-122.69564567338111,Portland,OR,97217,2747 N Lombard St,
Bridgetown Coffee Annex,45.53103298930046,-122.68785359423471,Portland,OR,97209,1111 NW 16th Ave,
Coava Coffee,45.5121628885553,-122.6385397875284,Portland,OR,97214,2631 SE Hawthorne Blvd,
Coffee Time,45.55860499247764,-122.68511218865957,Portland,OR,97217,,
Courier Coffee,45.52265235360441,-122.68075313254027,Portland,OR,97205,923 SW Oak St,
Kiss Coffee,45.56608442735055,-122.63450006448053,Portland,OR,97211,3016 NE Ainsworth St,
Giacobbos Coffee House,45.523140848554135,-122.69621596226169,Portland,OR,97210,2190 W Burnside St,
Java Man Coffee,45.52486677636785,-122.67225568719691,Portland,OR,97209,220 NW 2nd Ave,2018-06-05
Fireside Coffee Lodge,45.50099358518401,-122.65204147294824,Portland,OR,97202,1223 SE Powell Blvd,
Black Rock Coffee Bar,45.46548915268417,-122.7549906067681,Portland,OR,97223,,
Five Mississippi Coffee,45.554356773659244,-122.67571052729356,Portland,OR,97217,4233 N Mississippi Ave,
Coava Coffee Roasters | Public Brew Bar & Roastery,45.51390553740925,-122.65530283143251,Portland,OR,97214,1015 SE Main St,
Touchstone Coffee House,45.52660013235327,-122.58416824208075,Portland,OR,97213,7631 NE Glisan St,
Bridgetown Coffee,45.539307753699944,-122.69536929123228,Portland,OR,97210,2101 NW York St,2024-06-27
The Arrow Coffeehouse,45.55890757167901,-122.66189275587907,Portland,OR,97211,4943 NE M L King Blvd,2021-01-23
Stumptown Coffee Roasters,45.588177777580974,-122.59453654289244,Portland,OR,97218,Concourse C,
Harder Day Coffee Company - Macadam,45.48444,-122.67598,Portland,OR,97239,5331 S Macadam Ave #122,
Dutch Bros Coffee,45.50388678912622,-122.52290621256287,Portland,OR,97236,13640 SE Division St,
Old School Coffee,45.50540754229877,-122.5800923173812,Portland,OR,97216,8102 SE Division St.,
The Third Place Coffeeshouse,45.53439014289362,-122.48603813816224,Portland,OR,97230,172nd,
Night Owl Roasters,45.5711778421872,-122.64054284935594,Portland,OR,97211,6633 NE 25th Ave,
Tin Man Coffee,45.52013565356583,-122.67191361446517,Portland,OR,,306 Sw 1st,
Compass Coffee Roasting,45.54661643835598,-122.66761134624159,Portland,OR,97227,3290 N Vancouver Ave,
Cams Coffee,45.56684665809672,-122.53803701578396,Portland,OR,97220,6033 NE Win Sivers Dr,
Awakening Coffee,45.416554,-122.641,Portland,OR,97267,2144 SE Oak Grove Blvd,
Bridgetown Coffee,45.53888228830075,-122.71352004059989,Portland,OR,97210,2330 NW 31st Ave,
Irish Bros. Coffee,45.544511034859866,-122.47788030985177,Portland,OR,97230,3007 NE 181st Ave,
Happy Cup Coffee Company,45.515014,-122.679045,Portland,OR,97204,1221 SW 4th Ave,
Coffee Net & Mr. Browns Bar-B-Que,45.533143460181776,-122.55726684193912,Portland,OR,97220,10249 NE Clackamas St,
